Transaction_ID,Date,Station_Name,OMC,City,Province,Fuel_Type,Price_Per_Liter_PKR,Volume_Sold_Liters,Total_Revenue_PKR,Payment_Method,Customer_Type
TXN-20250001,2025-06-05,PSO Multan Clifton Service Station,PSO,Multan,Punjab,Hi-Octane (97 Ron),326.99,76.44,24995.12,cash,individual
TXN-20250002,2026-06-18,Total Parco Faisalabad G-11 Markaz Station,Total Parco,Faisalabad,Punjab,Hi-Octane (97 Ron),301.87,60.83,18362.75,credit card,individual
TXN-20250003,2026-01-14,Attock Petroleum Sialkot Saddar Filling Station,Attock Petroleum,Sialkot,Punjab,Hi-Octane (97 Ron),301.52,7788.08,2348261.88,credit card,Corporate
TXN-20250004,2026-07-08,Total Parco Multan Thokar Niaz Baig Station,Total Parco,Multan,Punjab,High Speed Diesel,284.54,66.22,18842.24,cash,Individual
TXN-20250005,01-May-26,Cnergyico Sialkot Multan Road Filling Point,Cnergyico,Sialkot,Punjab,Hi-Octane (97 Ron),310.17,6.59,2044.02,Credit Card,Government
TXN-20250006,28/01/2025,Shell Lahore Gulberg Station,Shell,Lahore,Punjab,Super (92 Ron),275.01,63.93,17581.39,Cash,Individual
TXN-20250007,2025-12-14,Total Parco Karachi G-11 Markaz Station,Total Parco,Karachi,Sindh,CNG,208.5,26.63,5552.35,JazzCash,Corporate
TXN-20250008,30/04/2026,Hascol Multan Super Highway Station,Hascol,Multan,Punjab,High Speed Diesel,291.73,53.74,15677.57,cash,individual
TXN-20250009,2025-07-22,Shell Sialkot F-7 Markaz Pump,Shell,Sialkot,Punjab,Hi-Octane (97 Ron),323.13,75.19,24296.14,CASH,individual
TXN-20250010,2025-02-24,PSO Multan Lytton Road Pump,PSO,Multan,Punjab,CNG,201.42,105.8,,Fleet Card,Individual
TXN-20250011,2026-04-03,Hascol Peshawar Super Highway Station,Hascol,Peshawar,KPK,Hi-Octane (97 Ron),309.55,56.66,17539.1,Debit Card,Individual
TXN-20250012,2025-07-06,PSO Rawalpindi Blue Area Station,PSO,Rawalpindi,Punjab,Hi-Octane (97 Ron),297.48,118.18,35156.19,cash,Corporate Fleet
TXN-20250013,2026-01-29,Attock Petroleum Peshawar Saddar Filling Station,Attock Petroleum,Peshawar,KPK,High Speed Diesel,301.48,86.03,25936.32,JazzCash,Corporate
TXN-20250014,16-Jan-26,Cnergyico Karachi Multan Road Filling Point,Cnergyico,Karachi,Sindh,High Speed Diesel,293.0,131.97,38667.21,credit card,Agriculture
TXN-20250015,2025-01-07,Attock Petroleum Sialkot Motorway Service Area,Attock Petroleum,Sialkot,Punjab,High Speed Diesel,295.12,26.54,7832.48,JazzCash,individual
TXN-20250016,18-Apr-25,Hascol Multan Ferozepur Road Pump,Hascol,Multan,Punjab,Hi-Octane (97 Ron),300.01,122.36,36709.22,,Individual
TXN-20250017,2025-05-25,PSO Sialkot Blue Area Station,PSO,Sialkot,Punjab,High Speed Diesel,276.68,120.86,33439.54,Cash,Corporate
TXN-20250018,2025-06-18,Hascol Faisalabad Hayatabad Filling Station,Hascol,Faisalabad,Punjab,Super (92 Ron),260.87,24.99,6519.14,Credit Card,Corporate Fleet
TXN-20250019,30/01/2026,Cnergyico Sialkot Multan Road Filling Point,Cnergyico,Sialkot,Punjab,Super (92 Ron),9999.0,101.66,1016498.34,Fleet Card,Government
TXN-20250020,2025-09-20,PSO Rawalpindi Clifton Service Station,PSO,Rawalpindi,Punjab,Super (92 Ron),266.06,60.54,16107.27,Debit Card,Government
TXN-20250021,2026-05-15,Total Parco Sialkot Thokar Niaz Baig Station,Total Parco,Sialkot,Punjab,High Speed Diesel,291.26,78.53,22872.65,Credit Card,Corporate
TXN-20250022,2025-03-23,Total Parco Karachi G-11 Markaz Station,Total Parco,Karachi,Sindh,CNG,208.47,13.35,2783.07,Credit Card,Agriculture
TXN-20250023,2025-10-13,Hascol Karachi Super Highway Station,Hascol,Karachi,Sindh,Super (92 Ron),-99.0,62.58,-6195.42,credit card,Government
TXN-20250024,2025-04-28,Hascol Karachi Hayatabad Filling Station,Hascol,Karachi,Sindh,CNG,216.17,130.97,28311.78,Fleet Card,Individual
TXN-20250025,04/07/2025,Cnergyico Lahore Murree Road Station,Cnergyico,Lahore,Punjab,Super (92 Ron),,115.98,,JazzCash,Corporate
TXN-20250026,2026-04-20,Hascol Faisalabad Super Highway Station,Hascol,Faisalabad,Punjab,Super (92 Ron),,14.97,,Debit Card,Corporate
TXN-20250027,2025-02-22,Shell Rawalpindi Gulberg Station,Shell,Rawalpindi,Punjab,High Speed Diesel,274.22,8.16,2237.64,Credit Card,Agriculture
TXN-20250028,2025-01-24,Attock Petroleum Islamabad Motorway Service Area,Attock Petroleum,Islamabad,Islamabad ICT,Hi-Octane (97 Ron),303.85,17.33,5265.72,CASH,Corporate
TXN-20250029,20/08/2026,Shell Peshawar Gulberg Station,Shell,Peshawar,KPK,Super (92 Ron),281.75,62.26,17541.76,CASH,Agriculture
TXN-20250030,2025-02-27,Shell Multan F-7 Markaz Pump,Shell,Multan,Punjab,Hi-Octane (97 Ron),301.85,43.85,13236.12,Mobile Wallet,Agriculture
TXN-20250031,2026-08-02,Cnergyico Karachi Murree Road Station,Cnergyico,Karachi,Sindh,Hi-Octane (97 Ron),307.23,5384.23,,cash,Corporate Fleet
